,CASENUM,VEH_NO,MDRDSTRDNAME
182,201901184436,2,Not Reported
183,201901184444,1,Not Reported
184,201901184444,2,Not Reported
185,201901184452,1,Not Reported
186,201901184452,2,Not Reported
187,201901184465,1,Not Reported
188,201901184465,2,Not Reported
189,201901184472,1,"Distraction (Distracted), Details Unknown"
190,201901184472,2,Not Reported
191,201901184477,1,Not Reported
192,201901184477,2,Not Reported
193,201901184513,1,Not Reported
194,201901184528,1,Not Reported
195,201901184528,2,Not Reported
196,201901184529,1,Not Reported
197,201901184529,2,Not Reported
198,201901185177,1,Not Distracted
199,201901185177,2,Not Distracted
200,201901185290,1,Not Distracted
201,201901185290,2,Not Distracted
202,201901185337,1,Lost in Thought / Day dreaming
203,201901185360,1,Reported as Unknown if Distracted
204,201901185360,2,Reported as Unknown if Distracted
205,201901185381,1,Reported as Unknown if Distracted
206,201901185381,2,Reported as Unknown if Distracted
207,201901185400,1,Not Distracted
208,201901185435,1,While Using or Reaching for Device/Object Brought into Vehicle
209,201901185435,2,Not Distracted
210,201901185455,1,Reported as Unknown if Distracted
211,201901185455,2,Not Distracted
212,201901185575,1,Reported as Unknown if Distracted
213,201901185575,2,Not Distracted
214,201901185575,3,Not Distracted
215,201901187031,1,Not Reported
216,201901187031,2,While Manipulating Mobile Phone
217,201901187035,1,Not Reported
218,201901187035,2,Not Reported
219,201901187065,1,"Inattention (Inattentive), Details Unknown"
220,201901187134,1,Not Reported
221,201901187134,2,Not Reported
222,201901187229,1,"Inattention (Inattentive), Details Unknown"
223,201901187229,2,Not Distracted
224,201901187236,1,Reported as Unknown if Distracted
225,201901187236,2,Not Distracted
226,201901187238,1,Not Distracted
227,201901187273,1,Not Reported
228,201901187273,2,Not Reported
229,201901187277,1,Not Reported
230,201901187277,2,Not Reported
231,201901187348,1,Careless/Inattentive
232,201901187348,2,Not Reported
233,201901187368,1,Not Distracted
234,201901187368,2,Not Distracted
235,201901187473,1,Not Distracted
236,201901187473,2,Not Distracted
237,201901187493,1,Not Distracted
238,201901187591,1,"Inattention (Inattentive), Details Unknown"
239,201901187591,2,Not Distracted
240,201901187626,1,Not Distracted
241,201901187626,2,Not Distracted
242,201901187657,1,Other Mobile Phone Related
243,201901187716,1,"Distraction (Distracted), Details Unknown"
244,201901187722,1,Not Distracted
245,201901187728,1,Reported as Unknown if Distracted
246,201901187728,2,Not Distracted
247,201901187728,3,Not Distracted
248,201901187728,4,Reported as Unknown if Distracted
249,201901187745,1,Not Distracted
250,201901187745,2,Not Distracted
251,201901187756,1,Not Distracted
252,201901187756,2,Not Distracted
253,201901187766,1,Not Distracted
254,201901187778,1,Not Distracted
255,201901187778,2,Not Distracted
256,201901187873,1,Reported as Unknown if Distracted
257,201901189571,1,Not Reported
258,201901189571,2,Not Reported
259,201901190616,1,Not Reported
260,201901190636,1,Not Reported
261,201901190665,1,Not Reported
262,201901190781,2,Reported as Unknown if Distracted
263,201901190785,1,Not Distracted
264,201901190785,2,"Inattention (Inattentive), Details Unknown"
265,201901190802,1,Not Distracted
266,201901190802,2,Not Distracted
267,201901190819,1,Not Distracted
268,201901190819,2,Not Distracted
269,201901190826,1,Not Distracted
270,201901190841,1,Not Reported
271,201901190847,1,Not Distracted
272,201901190847,2,Not Distracted
273,201901191138,1,Not Reported
274,201901191145,1,Not Reported
275,201901191221,1,Not Distracted
276,201901191221,2,Not Distracted
277,201901191388,1,Not Distracted
278,201901191438,1,Reported as Unknown if Distracted
279,201901191438,2,Reported as Unknown if Distracted
280,201901191458,1,"Inattention (Inattentive), Details Unknown"
281,201901191487,1,"Inattention (Inattentive), Details Unknown"
282,201901191487,2,Not Distracted
283,201901191509,1,Not Distracted
284,201901191529,1,Not Distracted
285,201901191529,2,Not Reported
286,201901191540,1,Not Distracted
287,201901191540,2,Not Distracted
288,201901191565,1,Reported as Unknown if Distracted
289,201901191565,2,Reported as Unknown if Distracted
290,201901191583,1,"Distraction (Distracted), Details Unknown"
291,201901191583,2,Not Distracted
292,201901191586,1,"Distraction (Distracted), Details Unknown"
293,201901191586,2,Not Distracted
294,201901191591,1,Not Distracted
295,201901191602,1,"Inattention (Inattentive), Details Unknown"
296,201901191602,2,Not Distracted
297,201901191639,1,"Inattention (Inattentive), Details Unknown"
298,201901191639,2,Not Distracted
299,201901191640,1,"Inattention (Inattentive), Details Unknown"
300,201901191640,2,Not Distracted
301,201901191684,1,Not Distracted
302,201901191709,1,Not Distracted
303,201901191711,1,Not Reported
304,201901191711,2,Not Reported
305,201901191719,1,Not Distracted
306,201901191780,1,Not Distracted
307,201901191780,2,Not Distracted
308,201901191837,1,Reported as Unknown if Distracted
309,201901191837,2,Not Distracted
310,201901193792,1,Not Distracted
311,201901193793,2,Reported as Unknown if Distracted
312,201901193800,1,Not Reported
313,201901193801,1,Not Reported
314,201901193801,2,Not Reported
315,201901193801,3,Not Reported
316,201901193803,1,Not Reported
317,201901193803,2,Not Reported
318,201901193804,1,Not Reported
319,201901193813,1,Not Reported
320,201901193829,1,Not Reported
321,201901193829,2,Not Reported
322,201901193840,1,Not Reported
323,201901193840,2,Not Reported
324,201901193919,1,Not Reported
325,201901193919,2,Not Reported
326,201901193937,1,"Distracted by Outside Person, Object or Event"
327,201901193937,2,Not Distracted
328,201901193947,1,Reported as Unknown if Distracted
329,201901193947,2,Not Distracted
330,201901193974,1,Not Distracted
331,201901194177,1,Not Reported
332,201901194178,1,Not Reported
333,201901194187,1,Not Reported
334,201901194187,2,Not Reported
335,201901194187,3,Not Reported
336,201901194188,1,Not Reported
337,201901194188,2,Not Reported
338,201901194188,3,Not Reported
339,201901194283,1,Not Reported
340,201901194355,1,Not Distracted
341,201901194355,2,Not Distracted
342,201901194617,1,"Inattention (Inattentive), Details Unknown"
343,201901194677,1,Not Distracted
344,201901194677,2,Not Distracted
345,201901194737,1,Not Distracted
346,201901194737,2,Not Distracted
347,201901194771,1,Not Reported
348,201901194771,2,Not Reported
349,201901194821,1,"Inattention (Inattentive), Details Unknown"
350,201901194821,2,Not Distracted
351,201901194830,1,Not Distracted
352,201901194830,2,Not Distracted
353,201901194891,1,Reported as Unknown if Distracted
354,201901194891,2,Reported as Unknown if Distracted
355,201901194909,1,Not Distracted
356,201901194919,1,"Inattention (Inattentive), Details Unknown"
357,201901194919,2,Not Distracted
358,201901194922,1,Not Distracted
359,201901194932,1,Reported as Unknown if Distracted
360,201901194932,2,Not Distracted
361,201901194952,1,Not Distracted
362,201901194952,2,Not Distracted
363,201901194970,1,Not Distracted
364,201901194970,2,Not Distracted
365,201901194970,3,Not Distracted
366,201901194971,1,Reported as Unknown if Distracted
367,201901194971,2,Not Distracted
368,201901195012,1,"Inattention (Inattentive), Details Unknown"
369,201901195442,1,Not Distracted
370,201901195442,2,Not Distracted
371,201901196370,1,Not Distracted
372,201901196370,2,Not Distracted
373,201901196375,1,Reported as Unknown if Distracted
374,201901196375,2,Reported as Unknown if Distracted
375,201901196385,1,Not Distracted
376,201901196386,1,Reported as Unknown if Distracted
377,201901196388,1,Reported as Unknown if Distracted
378,201901196511,1,"Inattention (Inattentive), Details Unknown"
379,201901196513,1,Not Reported
380,201901196516,1,Not Reported
381,201901196516,2,Not Reported
382,201901196522,1,Not Reported
383,201901196527,1,Not Reported
384,201901196629,1,Not Distracted
385,201901196650,1,Not Distracted
386,201901196674,1,Not Distracted
387,201901196674,2,Not Distracted
388,201901196676,1,Not Distracted
389,201901196676,2,Not Distracted
390,201901196779,1,Not Reported
391,201901196779,2,Not Reported
392,201901196816,1,Not Reported
393,201901196816,2,Not Reported
394,201901196818,1,Not Reported
395,201901196835,1,Not Reported
396,201901196835,2,Not Reported
397,201901196849,1,Not Reported
398,201901196914,1,Not Reported
399,201901196914,2,Not Reported
400,201901196925,1,By Other Occupant(s)
401,201901196925,2,Not Reported
402,201901196925,3,Not Reported
403,201901196935,1,Not Reported
404,201901196988,1,Not Reported
405,201901196988,2,Not Reported
406,201901196999,1,Not Reported
407,201901196999,2,Not Reported
408,201901197026,1,Not Distracted
409,201901197026,2,Not Distracted
410,201901197177,1,Not Reported
411,201901197177,2,Not Distracted
412,201901197177,3,Not Distracted
413,201901197186,1,"Inattention (Inattentive), Details Unknown"
414,201901197186,2,Not Distracted
415,201901197186,3,Not Distracted
416,201901197236,1,Not Distracted
417,201901197236,2,Not Distracted
418,201901197257,1,Not Distracted
419,201901197257,2,Not Distracted
420,201901197333,1,Not Distracted
421,201901197333,2,Not Distracted
422,201901197353,1,Not Distracted
423,201901197412,1,Not Distracted
424,201901197422,1,Not Distracted
425,201901197422,2,Not Distracted
426,201901197428,1,Not Distracted
427,201901197428,2,Not Distracted
428,201901197428,3,Not Distracted
429,201901197430,1,Not Distracted
430,201901197457,1,While Using Other Component/Controls Integral to Vehicle
431,201901197457,2,Not Distracted
432,201901197467,1,Not Distracted
433,201901197475,1,Not Reported
434,201901197478,1,Not Distracted
435,201901197482,1,Reported as Unknown if Distracted
436,201901197482,2,Not Distracted
437,201901197505,1,"Inattention (Inattentive), Details Unknown"
438,201901197505,2,Not Distracted
439,201901197505,3,Not Distracted
440,201901197511,1,Not Distracted
441,201901197511,2,Not Distracted
442,201901197514,1,Not Distracted
443,201901197532,1,Reported as Unknown if Distracted
444,201901197532,2,Reported as Unknown if Distracted
445,201901197603,1,Not Distracted
446,201901197603,2,Not Distracted
447,201901197615,1,Not Distracted
448,201901197615,2,Not Distracted
449,201901197625,1,Not Distracted
450,201901197625,2,Not Distracted
451,201901197629,1,Reported as Unknown if Distracted
452,201901197645,1,While Using or Reaching for Device/Object Brought into Vehicle
453,201901197645,2,Not Distracted
454,201901197667,1,Not Distracted
455,201901197667,2,Not Distracted
456,201901197767,1,Not Distracted
457,201901197767,2,Not Distracted
458,201901197812,1,Reported as Unknown if Distracted
459,201901197812,2,Not Distracted
460,201901197816,1,Not Distracted
461,201901197816,2,Not Distracted
462,201901197845,1,Not Distracted
463,201901197845,2,Not Distracted
464,201901197854,1,Not Distracted
465,201901197854,2,Not Distracted
466,201901197893,1,"Distracted by Outside Person, Object or Event"
467,201901197893,2,Not Reported
468,201901197926,1,Not Distracted
469,201901197926,2,Not Distracted
470,201901197953,1,Not Distracted
471,201901197953,2,Not Distracted
472,201901197965,1,Other Distraction [Specify:]
473,201901197965,2,"Distracted by Outside Person, Object or Event"
474,201901198086,1,Not Reported
475,201901198086,2,Not Reported
476,201901198125,1,Not Reported
477,201901198125,2,Not Reported
478,201901198134,1,Not Reported
479,201901198134,2,Not Reported
480,201901199424,1,Not Distracted
481,201901199425,1,Not Distracted
482,201901199425,2,Not Distracted
483,201901199426,1,Not Distracted
484,201901199428,1,By Other Occupant(s)
485,201901199428,1,Eating or Drinking
486,201901199429,1,Not Reported
487,201901199435,1,Not Reported
488,201901199435,2,Not Reported
489,201901199438,1,Not Reported
490,201901199441,1,Not Reported
491,201901199441,2,Not Reported
492,201901199459,1,Not Reported
493,201901199559,1,Not Reported
494,201901199559,2,Not Reported
495,201901199602,1,Not Distracted
496,201901199602,2,Not Distracted
497,201901199602,3,Not Distracted
498,201901199602,4,Not Distracted
499,201901199608,1,Not Distracted
500,201901199613,1,Not Distracted
501,201901199789,1,Not Reported
502,201901199821,1,Not Distracted
503,201901199821,2,Not Distracted
504,201901199951,1,"Inattention (Inattentive), Details Unknown"
505,201901199951,2,Not Distracted
506,201901200141,1,Not Distracted
507,201901200141,2,Not Distracted
508,201901200171,1,Not Distracted
509,201901200171,2,Not Distracted
510,201901200299,1,Not Distracted
511,201901200299,2,Not Distracted
512,201901200448,1,Not Reported
513,201901200448,2,Not Distracted
514,201901200470,1,Reported as Unknown if Distracted
515,201901200470,2,Not Distracted
516,201901200481,1,Not Distracted
517,201901200481,2,Reported as Unknown if Distracted
518,201901200534,1,Not Distracted
519,201901200549,1,Not Distracted
520,201901200549,2,Not Distracted
521,201901200550,1,Not Distracted
522,201901200550,2,Not Distracted
523,201901200594,1,Not Distracted
524,201901200594,2,Not Distracted
525,201901200632,1,Not Distracted
526,201901200632,2,Not Distracted
527,201901200632,3,Not Distracted
528,201901200642,1,Not Distracted
529,201901200642,2,Not Distracted
530,201901200651,1,Not Reported
531,201901200651,2,Not Distracted
532,201901200664,1,Not Distracted
533,201901200722,1,Not Distracted
534,201901200722,2,Reported as Unknown if Distracted
535,201901200757,1,Not Distracted
536,201901200757,2,Not Distracted
537,201901200758,1,Not Distracted
538,201901200759,1,Other Distraction [Specify:]
539,201901200759,2,Not Distracted
540,201901200768,1,Not Distracted
541,201901200768,2,Not Distracted
542,201901200772,1,Not Reported
543,201901200772,2,Reported as Unknown if Distracted
544,201901200775,1,Not Distracted
545,201901200781,1,Not Distracted
546,201901200781,2,Not Distracted
547,201901200781,3,Not Distracted
548,201901200832,1,Reported as Unknown if Distracted
549,201901200832,2,Not Distracted
550,201901200861,1,Not Distracted
551,201901200861,2,Not Distracted
552,201901200886,1,"Inattention (Inattentive), Details Unknown"
553,201901200886,2,Not Distracted
554,201901200898,1,Not Distracted
555,201901200999,1,Not Distracted
556,201901200999,2,Not Distracted
557,201901201096,1,Not Reported
558,201901201126,1,Not Distracted
559,201901201130,1,Not Distracted
560,201901201158,1,Not Distracted
561,201901201158,2,Not Distracted
562,201901201159,1,Not Distracted
563,201901201159,2,Not Distracted
564,201901201376,1,Not Reported
565,201901201391,1,Not Reported
566,201901201393,1,Not Reported
567,201901201393,2,Not Reported
568,201901201462,1,Not Reported
569,201901201462,2,Not Reported
570,201901201479,1,Not Reported
571,201901201479,2,Not Reported
572,201901201479,3,Not Reported
573,201901201652,1,Not Distracted
574,201901201652,2,Not Distracted
575,201901201761,1,Not Distracted
576,201901201761,2,Not Distracted
577,201901201801,1,Not Distracted
578,201901201928,1,"Inattention (Inattentive), Details Unknown"
579,201901201928,2,Not Distracted
580,201901201960,1,Not Distracted
581,201901201960,2,Not Distracted
582,201901202010,1,Not Distracted
583,201901202010,2,Not Distracted
584,201901202049,1,Not Distracted
585,201901202049,2,Not Distracted
586,201901202077,1,Not Distracted
587,201901202077,2,Not Distracted
588,201901202088,1,Not Distracted
589,201901202088,2,Not Distracted
590,201901202099,1,"Inattention (Inattentive), Details Unknown"
591,201901202099,2,Not Distracted
592,201901202125,1,Not Distracted
593,201901202125,2,Not Distracted
594,201901202133,1,Not Distracted
595,201901202133,2,Not Distracted
596,201901202164,1,Not Distracted
597,201901202164,2,Not Distracted
598,201901202175,1,Not Reported
599,201901202175,2,Not Distracted
600,201901202257,1,Not Distracted
601,201901202257,2,Not Distracted
602,201901202277,1,Not Distracted
603,201901202347,1,Not Distracted
604,201901202347,2,Not Distracted
605,201901202413,1,Reported as Unknown if Distracted
606,201901202413,2,Not Reported
607,201901202429,1,"Distracted by Outside Person, Object or Event"
608,201901202429,2,Not Distracted
609,201901202431,1,"Distracted by Outside Person, Object or Event"
610,201901202431,2,Not Reported
611,201901202431,3,Not Reported
612,201901202490,1,Not Distracted
613,201901202490,2,Not Distracted
614,201901202643,1,Not Reported
615,201901202643,2,Not Reported
616,201901202654,1,Not Reported
617,201901202654,2,Not Reported
618,201901202668,1,Not Reported
619,201901202676,1,Not Reported
620,201901202689,1,Not Reported
621,201901202697,1,Not Reported
622,201901202717,1,"Distracted by Outside Person, Object or Event"
623,201901202717,2,Not Reported
624,201901202733,1,Not Reported
625,201901202733,2,Not Reported
626,201901202738,1,Not Reported
627,201901202738,2,Not Reported
628,201901202744,1,Not Reported
629,201901202749,1,Not Reported
630,201901202773,1,Not Reported
631,201901202775,1,Not Reported
632,201901202776,1,Not Reported
633,201901202776,2,Not Reported
634,201901202804,1,Not Reported
635,201901202804,2,Not Reported
636,201901202811,1,Not Reported
637,201901202811,2,Not Reported
638,201901202838,1,Not Reported
639,201901202838,2,Not Reported
640,201901202840,1,Not Reported
641,201901202840,2,Not Reported
642,201901202844,1,Not Reported
643,201901202864,1,Not Reported
644,201901202864,2,Not Reported
645,201901202868,1,Other Mobile Phone Related
646,201901202868,2,Not Reported
647,201901202871,1,Not Reported
648,201901202885,1,Not Reported
649,201901202885,2,Not Reported
650,201901202906,1,Not Reported
651,201901202917,1,Not Reported
652,201901202917,2,Not Reported
653,201901202920,1,Not Reported
654,201901202928,1,Not Reported
655,201901202929,1,Not Reported
656,201901202929,2,Not Reported
657,201901202937,1,Not Reported
658,201901202937,2,Not Reported
659,201901202939,1,"Distracted by Outside Person, Object or Event"
660,201901202939,2,Not Reported
661,201901202944,1,"Distracted by Outside Person, Object or Event"
662,201901202946,1,Not Reported
663,201901202946,2,Not Reported
664,201901202960,1,Not Reported
665,201901202960,2,No Driver Present/Unknown if Driver present
666,201901202962,1,Not Reported
667,201901202962,2,Not Reported
668,201901202964,1,Not Reported
669,201901202964,2,Not Reported
670,201901202969,1,Not Reported
671,201901202969,2,Not Reported
672,201901202971,1,Not Reported
673,201901202971,2,Not Distracted
674,201901202981,1,Not Reported
675,201901202989,1,Not Reported
676,201901202989,2,Not Reported
677,201901202993,1,"Distraction (Distracted), Details Unknown"
678,201901202993,2,Not Reported
679,201901202995,1,Not Reported
680,201901202998,1,"Inattention (Inattentive), Details Unknown"
681,201901202998,2,Not Reported
682,201901203001,1,Not Reported
683,201901203003,1,Not Reported
684,201901203007,1,Not Reported
685,201901203007,2,Not Reported
686,201901203014,1,Not Reported
687,201901203014,2,Not Reported
688,201901203014,3,Not Reported
689,201901203027,1,Not Reported
690,201901203030,1,Not Reported
691,201901203030,2,Not Reported
692,201901203030,3,Not Reported
693,201901203030,4,Not Reported
694,201901203033,1,Not Reported
695,201901203033,2,Not Distracted
696,201901203035,1,Not Reported
697,201901203035,2,Not Distracted
698,201901203060,1,Not Reported
699,201901203060,2,Not Distracted
700,201901203063,1,Not Reported
701,201901203063,2,Not Reported
702,201901203083,1,Not Distracted
703,201901203083,2,Not Distracted
704,201901203164,1,Not Distracted
705,201901203164,2,Not Distracted
706,201901203181,1,Not Distracted
707,201901203186,1,"Distraction (Distracted), Details Unknown"
708,201901203186,2,Not Distracted
709,201901203190,1,Not Distracted
710,201901203190,2,Not Distracted
711,201901203195,1,Not Distracted
712,201901203195,2,Not Distracted
713,201901203211,1,Reported as Unknown if Distracted
714,201901203215,1,Reported as Unknown if Distracted
715,201901203215,2,Not Distracted
716,201901203215,3,Not Distracted
717,201901203219,1,Reported as Unknown if Distracted
718,201901203219,2,Not Distracted
719,201901203248,1,Reported as Unknown if Distracted
720,201901203248,2,Not Reported
721,201901203471,1,Not Reported
722,201901203482,1,Not Distracted
723,201901203482,2,Not Distracted
724,201901203483,1,Not Reported
725,201901203483,2,Not Reported
726,201901203487,1,Not Reported
727,201901203487,2,Not Distracted
728,201901203489,1,Not Distracted
729,201901203490,1,Not Distracted
730,201901203496,1,Not Distracted
731,201901203496,2,Not Distracted
732,201901203498,1,Not Distracted
733,201901203498,2,Not Distracted
734,201901203503,1,Not Distracted
735,201901203503,2,Not Distracted
736,201901203505,1,Not Distracted
737,201901203505,2,Not Distracted
738,201901203518,1,Not Distracted
739,201901203518,2,Not Distracted
740,201901203856,1,Not Distracted
741,201901203856,2,Not Distracted
742,201901203882,1,Reported as Unknown if Distracted
743,201901203897,1,Reported as Unknown if Distracted
744,201901204522,1,Not Reported
745,201901204522,2,Not Reported
746,201901204524,1,Not Reported
747,201901204524,2,Not Reported
748,201901204526,1,Not Reported
749,201901204526,2,Not Reported
750,201901204526,3,Not Reported
751,201901204540,1,Not Reported
752,201901204591,1,Not Reported
753,201901204591,2,Not Reported
754,201901204611,1,Not Reported
755,201901204692,1,Not Reported
756,201901204692,2,Not Reported
757,201901204731,1,Not Reported
758,201901204731,2,Not Reported
759,201901204761,1,Not Reported
760,201901204761,2,Not Reported
761,201901204761,3,Not Reported
762,201901204967,1,Not Reported
763,201901205000,1,Not Reported
764,201901205000,2,Not Reported
765,201901205038,1,Eating or Drinking
766,201901205038,2,Not Reported
767,201901205153,1,Not Reported
768,201901205153,2,Not Reported
769,201901205179,1,"Distraction (Distracted), Details Unknown"
770,201901205179,2,Not Distracted
771,201901205182,1,Reported as Unknown if Distracted
772,201901205182,2,Not Distracted
773,201901205186,1,Not Distracted
774,201901205232,1,Eating or Drinking
775,201901205232,2,Not Distracted
776,201901205234,1,Not Distracted
777,201901205236,1,While Talking or Listening to Mobile Phone
778,201901205236,2,Not Distracted
779,201901205240,1,Not Distracted
780,201901205240,2,Reported as Unknown if Distracted
781,201901205269,1,Reported as Unknown if Distracted
782,201901205272,1,Not Distracted
783,201901205275,1,Other Distraction [Specify:]
784,201901205275,2,Not Distracted
785,201901205288,1,Not Distracted
786,201901205288,2,Not Distracted
787,201901205295,1,Not Distracted
788,201901205299,1,Not Distracted
789,201901205302,1,Reported as Unknown if Distracted
790,201901205307,1,Reported as Unknown if Distracted
791,201901205389,1,Reported as Unknown if Distracted
792,201901205389,2,Not Reported
793,201901205494,1,Not Distracted
794,201901205605,1,Not Distracted
795,201901205605,2,Not Reported
796,201901205922,1,Not Distracted
797,201901206065,1,Not Reported
798,201901206084,1,While Using or Reaching for Device/Object Brought into Vehicle
799,201901206084,2,Not Distracted
800,201901206084,3,Not Distracted
801,201901206098,1,Not Distracted
802,201901206098,2,Not Distracted
803,201901207063,1,Not Distracted
804,201901207066,1,Not Distracted
805,201901207066,2,Not Distracted
806,201901207068,1,Not Distracted
807,201901207068,2,Not Distracted
808,201901207070,1,Not Distracted
809,201901207070,2,Not Distracted
